Month,Year,Temperature (Â°C)
1,2015,19.6
2,2015,31.4
3,2015,15.4
4,2015,15.1
5,2015,-3.0
6,2015,-3.6
7,2015,17.0
8,2015,12.5
9,2015,28.6
10,2015,1.4
11,2015,-4.0
12,2015,13.0
1,2016,4.5
2,2016,-3.0
3,2016,24.0
4,2016,-0.5
5,2016,19.3
6,2016,6.2
7,2016,1.9
8,2016,10.2
9,2016,27.1
10,2016,10.7
11,2016,25.0
12,2016,0.0
1,2017,25.9
2,2017,4.5
3,2017,22.1
4,2017,17.6
5,2017,32.2
6,2017,10.5
7,2017,-2.4
8,2017,-4.2
9,2017,28.1
10,2017,16.0
11,2017,26.0
12,2017,4.4
1,2018,8.8
2,2018,-3.8
3,2018,33.5
4,2018,21.7
5,2018,32.3
6,2018,5.6
7,2018,19.5
8,2018,22.1
9,2018,7.7
10,2018,28.9
11,2018,32.9
12,2018,30.4
1,2019,24.6
2,2019,6.1
3,2019,6.3
4,2019,33.5
5,2019,-4.6
6,2019,23.6
7,2019,23.2
8,2019,19.9
9,2019,34.6
10,2019,7.5
11,2019,8.6
12,2019,-1.8
1,2020,12.7
2,2020,5.4
3,2020,8.7
4,2020,28.4
5,2020,32.4
6,2020,2.4
7,2020,9.9
8,2020,32.1
9,2020,-2.5
10,2020,-1.3
11,2020,1.5
12,2020,18.8
1,2021,1.0
2,2021,33.7
3,2021,12.9
4,2021,15.1
5,2021,4.9
6,2021,13.8
7,2021,21.5
8,2021,25.0
9,2021,25.2
10,2021,18.1
11,2021,31.2
12,2021,27.7
1,2022,25.3
2,2022,-2.8
3,2022,-4.7
4,2022,3.5
5,2022,21.5
6,2022,11.4
7,2022,11.1
8,2022,30.4
9,2022,30.8
10,2022,31.4
11,2022,7.6
12,2022,22.6
